Field Name in EDT,IDOL Name (in IDX file),Name in MicroFocus export,CFU Suggested Name,Found in IDX data,Stored in EDT as,Importer Group,Field Description,Override conversion method
Production Image File Name,AUN_PRODUCTION_IMAGEFILENAME,Production - Image File Name,Production Image File Name,,Text,Appointment,ABC,Unknown
Production Begin,PRODUCTION_BEGIN_MATCH,Production Begin,Production Begin,,undefined,Custom,DEF,Unknown
Production Date,PRODUCTION_DATE,Production Date,Production Date,,Dropdown List,Custom,ABC,Unknown
Production End,PRODUCTION_END_MATCH,Production End,Production End,,undefined,Custom,DEF,Unknown
Production Name,PRODUCTION_NAME_MATCH,Production Name,Production Name,,Dropdown List,Custom,GHI,Unknown
Property reference number,TAG_EXHIBIT_REFERENCE_MATCH,Property reference number,Property reference number,,Text,Custom,ABC,Unknown
Protected Item Reviewed By,TAG_PROTECTED_ITEM_REVIEWEDBY_MATCH,Protected Item - Reviewed By,Protected Item Reviewed By,,MultiValueList,Custom,DEF,Unknown
Recipients,AUN_RECIPIENT_MATCH_PARAMETRIC,Recipients (All),Recipients,,Dropdown List,Custom,GHI,Unknown
File Type,TYPE,Record Type,File Type,,Dropdown List,Custom,ABC,Unknown
Re-imported,AUN_REIMPORT_NUMERIC,Re-imported,Re-imported,,Text,Other,DEF,Unknown
Root Family Reference ID,#DREROOTFAMILYREFERENCE_ID,Root Family UUID,Root Family Reference ID,,Text,Custom,GHI,Unknown
Scanner Document ID,SL_SCANNER_ID_MATCH,Scanner Document ID,Scanner Document ID,,Text,Other,ABC,Unknown
Sensitive or LPP Comments,TAG_REG_SENSITIVELPPCOMMENTS_MATCH,Sensitive or LPP Comments,Sensitive or LPP Comments,,Memo,Standard,DEF,Unknown
Sensitive or LPP Item,TAG_REG_SENSITIVELPP_MATCH,Sensitive or LPP Item,Sensitive or LPP Item,,Dropdown List,Custom,ABC,Unknown
Sensitive or LPP Reason,TAG_REG_SENSITIVELPPREASON_MATCH,Sensitive or LPP Reason,Sensitive or LPP Reason,,Dropdown List,Custom,DEF,Unknown
Shown To,TAG_SHOWN_TO_MATCH,Shown To,Shown To,,MultiValueList,Custom,GHI,Unknown
EMS Source Number,AUN_SOURCE_NUMERIC,Source ID,EMS Source Number,,Dropdown List,Other,ABC,Unknown
EMS DocLibrary Source,AUN_VIRTUAL_SOURCE_NAME,Source Name (All),EMS DocLibrary Source,,Dropdown List,Custom,DEF,Unknown
DocLibSource,AUN_SOURCE_NAME,Source Name (Initial),DocLibSource,,Dropdown List,Custom,GHI,Unknown
Sub Source,TAG_SUB_SOURCE_MATCH,Sub Source,Sub Source,,Text,Custom,ABC,Unknown
Subjects,TAG_SUBJECTS_MATCH_PARAMETRIC,Subjects,Subjects,,MultiValueList,Unknown,DEF,Unknown
EMS Term List,AUN_TERMLIST_NUMERIC,Term List,EMS Term List,,undefined,MS Office & PDF,GHI,Unknown
Tiff Status,AUN_TIFF_STATUS_MATCH_PARAMETRIC,Tiff Status,Tiff Status,,Dropdown List,Other,ABC,Unknown
Tiffing Request Status,TAG_TIFFING_REQUEST_MATCH,Tiffing Request Status,Tiffing Request Status,,List (presented as radio button),Custom,DEF,Unknown
Tiffing Result,TIFFING_RESULT,Tiffing Result,Tiffing Result,,Text,Custom,ABC,Unknown
Tiffing Slipsheeted,TIFFING_SLIPSHEETED,Tiffing Slipsheeted,Tiffing Slipsheeted,,Dropdown List,Custom,DEF,Unknown
