Field Name in EDT,IDOL Name (in IDX file),Name in MicroFocus export,CFU Suggested Name,Found in IDX data,Stored in EDT as,Importer Group,Field Description,Override conversion method
BGPARTNERMOBILE,BGPARTNERMOBILE,,BGPARTNERMOBILE,,,,,Unknown
BGPARTNEROFFICE,BGPARTNEROFFICE,,BGPARTNEROFFICE,,,,,Unknown
BGPARTNEROTHERNAME,BGPARTNEROTHERNAME,,BGPARTNEROTHERNAME,,,,,Unknown
BGPARTNERPREFERREDNAME,BGPARTNERPREFERREDNAME,,BGPARTNERPREFERREDNAME,,,,,Unknown
BGPARTNERTREATASPARTNER,BGPARTNERTREATASPARTNER,,BGPARTNERTREATASPARTNER,,,,,Unknown
BGRELATINGTO,BGRELATINGTO,,BGRELATINGTO,,,,,Unknown
BGSETTLEMENTAGREEMENT,BGSETTLEMENTAGREEMENT,,BGSETTLEMENTAGREEMENT,,,,,Unknown
BGSETTLEMENTSIGNOFF,BGSETTLEMENTSIGNOFF,,BGSETTLEMENTSIGNOFF,,,,,Unknown
BGSPACERAFTER,BGSPACERAFTER,,BGSPACERAFTER,,,,,Unknown
BGSPACERBEFORE,BGSPACERBEFORE,,BGSPACERBEFORE,,,,,Unknown
BGTITLE,BGTITLE,,BGTITLE,,,,,Unknown
BGTOC,BGTOC,,BGTOC,,,,,Unknown
BGTOPIC,BGTOPIC,,BGTOPIC,,,,,Unknown
BGTRACKCHANGES,BGTRACKCHANGES,,BGTRACKCHANGES,,,,,Unknown
BGVERSIONNUMBER,BGVERSIONNUMBER,,BGVERSIONNUMBER,,,,,Unknown
BIT_DEPTH,BIT_DEPTH,,BIT_DEPTH,,,,,Unknown
BITS_PER_CHANNEL,BITS_PER_CHANNEL,,BITS_PER_CHANNEL,,,,,Unknown
BITS_PER_PIXEL,BITS_PER_PIXEL,,BITS_PER_PIXEL,,,,,Unknown
Bloomberg Identifier,SL_BLOOMBERG_IDENTIFIER_MATCH,Bloomberg Identifier,Bloomberg Identifier,,Text,Custom,,Unknown
Bloomberg Room Name,SL_BLOOMBERG_ROOM_MATCH,Bloomberg Room Name,Bloomberg Room Name,,Text,Custom,,Unknown
BRIGHTNESS_VALUE,BRIGHTNESS_VALUE,,BRIGHTNESS_VALUE,,,,,Unknown
BUSINESS_OBJECTS_CONTEXT_INFORMATION,BUSINESS_OBJECTS_CONTEXT_INFORMATION,,BUSINESS_OBJECTS_CONTEXT_INFORMATION,,,,,Unknown
BUSINESS_OBJECTS_CONTEXT_INFORMATION1,BUSINESS_OBJECTS_CONTEXT_INFORMATION1,,BUSINESS_OBJECTS_CONTEXT_INFORMATION1,,,,,Unknown
BUSINESS_OBJECTS_CONTEXT_INFORMATION2,BUSINESS_OBJECTS_CONTEXT_INFORMATION2,,BUSINESS_OBJECTS_CONTEXT_INFORMATION2,,,,,Unknown
BUSINESS_OBJECTS_CONTEXT_INFORMATION3,BUSINESS_OBJECTS_CONTEXT_INFORMATION3,,BUSINESS_OBJECTS_CONTEXT_INFORMATION3,,,,,Unknown
BUSINESS_OBJECTS_CONTEXT_INFORMATION4,BUSINESS_OBJECTS_CONTEXT_INFORMATION4,,BUSINESS_OBJECTS_CONTEXT_INFORMATION4,,,,,Unknown
BUSINESS_OBJECTS_CONTEXT_INFORMATION5,BUSINESS_OBJECTS_CONTEXT_INFORMATION5,,BUSINESS_OBJECTS_CONTEXT_INFORMATION5,,,,,Unknown
BUSINESS_OBJECTS_CONTEXT_INFORMATION6,BUSINESS_OBJECTS_CONTEXT_INFORMATION6,,BUSINESS_OBJECTS_CONTEXT_INFORMATION6,,,,,Unknown
CATEGORY,CATEGORY,,CATEGORY,,,,,Unknown
CFU Notes,TAG_CFU_NOTES_MATCH,CFU Notes,CFU Notes,,Memo,Custom,,Unknown
CFU Quarantine Date,TAG_CFU_QUARANTINE_DELETE_DATE_NUMERICDATE,CFU Quarantine Date,CFU Quarantine Date,,Date,Custom,,Unknown
CFU Quarantine Reason,TAG_CFU_QUARANTINE_DELETE_REASON_MATCH,CFU Quarantine Reason,CFU Quarantine Reason,,Memo,MS Office & PDF,,Unknown
CFU Release Date,TAG_CFU_QUARANTINE_RELEASE_DATE_NUMERICDATE,CFU Release Date,CFU Release Date,,Date,Custom,,Unknown
CFU Release Reason,TAG_CFU_QUARANTINE_RELEASE_REASON_MATCH,CFU Release Reason,CFU Release Reason,,Memo,Custom,,Unknown
CHANNELS,CHANNELS,,CHANNELS,,,,,Unknown
Character Count,CHARCOUNT,,Character Count,,,,,Unknown
CHARACTERSWITHSPACES,CHARACTERSWITHSPACES,,CHARACTERSWITHSPACES,,,,,Unknown
Child Count,#DRECHILDCOUNT,Child Count,Child Count,,Text,Custom,,Unknown
CHILDHASHES,CHILDHASHES,,CHILDHASHES,,,,,Unknown
CLIENTNO,CLIENTNO,,CLIENTNO,,,,,Unknown
Code Page,CODEPAGE,,Code Page,,,,,Unknown
COLOR_REPRESENTATION,COLOR_REPRESENTATION,,COLOR_REPRESENTATION,,,,,Unknown
COMMENT0,COMMENT0,,COMMENT0,,,,,Unknown
COMMENTS,COMMENTS,,COMMENTS,,,,,Unknown
Company,COMPANY,,Company,,,,,Unknown
COMPONENTS_CONFIGURATION,COMPONENTS_CONFIGURATION,,COMPONENTS_CONFIGURATION,,,,,Unknown
COMPRESSED_BITS_PIXEL,COMPRESSED_BITS_PIXEL,,COMPRESSED_BITS_PIXEL,,,,,Unknown
COMPRESSION,COMPRESSION,,COMPRESSION,,,,,Unknown
Containing Folder,#DRECONTAININGFOLDER,,Containing Folder,,,Custom,,Unknown
Containing Folder,DRECONTAININGFOLDER,,Containing Folder,,,Custom,,Unknown
Content,#DRECONTENT,,Content,,Text,Custom,,Unknown
Content,DRECONTENT,,Content,,Text,Custom,,Unknown
CONTENTSTATUS,CONTENTSTATUS,,CONTENTSTATUS,,,,,Unknown
CONTENTTYPEID,CONTENTTYPEID,,CONTENTTYPEID,,,,,Unknown
Conversation Topic,PR_CONVERSATION_TOPIC,,Conversation Topic,,,,,Unknown
ConversationIndex,PR_CONVERSATION_INDEX,,ConversationIndex,,,,,Unknown
Corrected Date,TAG_CORRECTEDDATE_NUMERICDATE,Corrected Date,Corrected Date,,Date,Custom,,Unknown
Corrected Date Request,TAG_CDATEREQUEST_MATCH,Corrected Date Request,Corrected Date Request,,List (presented as radio button),Email,,Unknown
CREATE_DTM,CREATE_DTM,,CREATE_DTM,,,,,Unknown
CREATED,CREATED,,CREATED,,,,,Unknown
